ParticipantName	GazeEventDuration	GazeEventDuration	GazeEventDuration	GazePointX (MCSpx)	GazePointY (MCSpx)	MediaName
P03h	416	416	416	616.0	182.0	http://www.fiit.stuba.sk/
P03h	416	416	416	608.0	186.0	http://www.fiit.stuba.sk/
P03h	416	416	416	598.0	202.0	http://www.fiit.stuba.sk/
P03h	416	416	416	602.0	224.0	http://www.fiit.stuba.sk/
P03h	416	416	416	593.0	199.0	http://www.fiit.stuba.sk/
P03h	416	416	416	604.0	195.0	http://www.fiit.stuba.sk/
P03h	416	416	416	582.0	190.0	http://www.fiit.stuba.sk/
P03h	416	416	416	598.0	132.0	http://www.fiit.stuba.sk/
P03h	416	416	416	574.0	166.0	http://www.fiit.stuba.sk/
P03h	416	416	416	593.0	210.0	http://www.fiit.stuba.sk/
P03h	416	416	416	603.0	211.0	http://www.fiit.stuba.sk/
P03h	416	416	416	594.0	186.0	http://www.fiit.stuba.sk/
P03h	416	416	416	578.0	167.0	http://www.fiit.stuba.sk/
P03h	416	416	416	608.0	223.0	http://www.fiit.stuba.sk/
P03h	416	416	416	583.0	198.0	http://www.fiit.stuba.sk/
P03h	416	416	416	583.0	207.0	http://www.fiit.stuba.sk/
P03h	416	416	416	581.0	188.0	http://www.fiit.stuba.sk/
P03h	416	416	416	603.0	156.0	http://www.fiit.stuba.sk/
P03h	416	416	416	600.0	214.0	http://www.fiit.stuba.sk/
P03h	416	416	416	595.0	165.0	http://www.fiit.stuba.sk/
P03h	416	416	416	596.0	176.0	http://www.fiit.stuba.sk/
P03h	416	416	416	595.0	208.0	http://www.fiit.stuba.sk/
P03h	416	416	416	599.0	186.0	http://www.fiit.stuba.sk/
P06h	288	288	288	550.0	419.0	http://www.fiit.stuba.sk/
P06h	288	288	288	545.0	430.0	http://www.fiit.stuba.sk/
P06h	288	288	288	518.0	444.0	http://www.fiit.stuba.sk/
P06h	288	288	288	519.0	446.0	http://www.fiit.stuba.sk/
P06h	288	288	288	516.0	436.0	http://www.fiit.stuba.sk/
P06h	288	288	288	519.0	442.0	http://www.fiit.stuba.sk/
P06h	288	288	288	512.0	449.0	http://www.fiit.stuba.sk/
P06h	288	288	288	512.0	449.0	http://www.fiit.stuba.sk/
P06h	288	288	288	515.0	449.0	http://www.fiit.stuba.sk/
P06h	288	288	288	513.0	450.0	http://www.fiit.stuba.sk/
P06h	288	288	288	513.0	457.0	http://www.fiit.stuba.sk/
P06h	288	288	288	503.0	446.0	http://www.fiit.stuba.sk/
P06h	288	288	288	511.0	443.0	http://www.fiit.stuba.sk/
P06h	288	288	288	516.0	453.0	http://www.fiit.stuba.sk/
P06h	650	650	650	461.0	449.0	http://www.fiit.stuba.sk/
P06h	650	650	650	450.0	449.0	http://www.fiit.stuba.sk/
P06h	650	650	650	457.0	444.0	http://www.fiit.stuba.sk/
P06h	650	650	650	452.0	442.0	http://www.fiit.stuba.sk/
P06h	650	650	650	450.0	451.0	http://www.fiit.stuba.sk/
P06h	650	650	650	456.0	445.0	http://www.fiit.stuba.sk/
P06h	650	650	650	454.0	453.0	http://www.fiit.stuba.sk/
P06h	650	650	650	456.0	440.0	http://www.fiit.stuba.sk/
P06h	650	650	650	456.0	448.0	http://www.fiit.stuba.sk/
P06h	650	650	650	463.0	444.0	http://www.fiit.stuba.sk/
P06h	650	650	650	459.0	448.0	http://www.fiit.stuba.sk/
P06h	650	650	650	450.0	437.0	http://www.fiit.stuba.sk/
P06h	650	650	650	455.0	448.0	http://www.fiit.stuba.sk/
P06h	650	650	650	452.0	452.0	http://www.fiit.stuba.sk/
P06h	650	650	650	452.0	438.0	http://www.fiit.stuba.sk/
P06h	650	650	650	454.0	448.0	http://www.fiit.stuba.sk/
P06h	650	650	650	456.0	446.0	http://www.fiit.stuba.sk/
P06h	650	650	650	455.0	442.0	http://www.fiit.stuba.sk/
P06h	650	650	650	440.0	443.0	http://www.fiit.stuba.sk/
P06h	650	650	650	440.0	441.0	http://www.fiit.stuba.sk/
P06h	650	650	650	437.0	435.0	http://www.fiit.stuba.sk/
P06h	650	650	650	437.0	442.0	http://www.fiit.stuba.sk/
P06h	650	650	650	440.0	452.0	http://www.fiit.stuba.sk/
